address,value
0xf04AedDe3C1B4415eC84EbF4D1c18E0268438e27,300
0x6Afc9298616B00E6eA5E5Da88719b740a196A41C,300
0xA021879D4B5114Dc2162613c290294Cb271eBbD4,300
0x92E216ac6Dcd7D67F138443f95fDc83bD7dd398f,900
0x5Ad0d19B7F00544E9C923b71CbE482cb90EdDffa,600
0xC855B9b7f116C816ce183d278e2566A2Eb32eb2a,600
0xaE01556F3f41781C9DA49334fB132fD6FC5f6496,9000
0xE33cCf2E727c1Dd2c8fDA36E357c3617c1E7448F,5400
0xE4bAf8F51eC02dbB9a45b660d377222e35DD81CE,1800
0x6123eEafcE2a184764e7d2094125aeD0e54f6Ba6,300
0x83290DA51d807A7409a1407647823fF83f4a8231,1800
0x438E561548bafd16b4679Ba7987203F0CdEcf956,900
0xF6875DACf10A42401e2bF2E7199C8306706Ee318,900
0x2C24D07747F7E9F518B9b9d3256DE955f643579E,600
0x2dd4c68737f3A8E5aF57143f3d9446A1308589f5,5700
0x9ec42DB57820a32f818E4522F4366F4f1DF049FB,900
0xCfe0F34A315e870C98e039A54302953607336892,600
0x34cE35F841897ba2168dd203e7DBc283dCd55eaf,300
0x07fFC744B8D57d86E2b8974f682a4517F9559710,300
0xa5C85c303A7A5Bf5E070B2b9f88e7ABB4a052f85,300
0xbdDcD6294312662E255Ee0aE5DB199f635832556,300
0xe1ED8a8Cd6160F7Ac8d597b64ba8ce473577E585,900
0x8592A15850d0a9F94d47f2c5173df56cd7924549,900
0xD16aD434A3041149deE2829fCb950cEE0f724a6B,300
0xA1a2522ed2D2F1f0b720e4fCbE29Fc88Ae398031,300
0x6710Fad543610CD0aEd8E468537c3d5373ccD7da,600
0x05EaF3564c72506Ac18981890F1b1e9873a43a4E,600
0xa03de5305Abd4fd0f68047febEdE4c8B8F2BBa34,1800
0xDA13C8A13058Ca308A52834BA7DF4Ae8D2e26920,300
0x664C556f541066791Cd50bFE290D70947Bd33989,3300
0x34F9C0B11e67d72AD65C41Ff90A6989846f28c22,300
0x4949CE5630472bAE5146FAcC021eC237A6a455a3,900
0x8B4cAC1a48d0A20815750975dD7B2F47390DC951,300
0x2ee595fd50c52F0ACb33CA05199383E4ba50177C,1500
0x1a7f752a7b5f9b244bc2640eaE4ec9402118A029,900
0x768F8ECe2601a05C5D2bea98013DFD91EA6740b9,9000
0xD945e44ab072Fb0319eA1164345daC05cB4Af63a,300
0x18063434984355447A32A483AEB54F921A6cE98f,300
0x009c48f35d53F5Cc254ed34D64C9b801eA15F69D,300
0x9a2a014f04220CaEa4AC9863A2EC6EA103F7DDce,300
0xe0BBf9b2F219E2dFdE891CA2E8B7f08592092623,1500
0xE57c17652b371BaBa86061876131D0f015e45E99,600
0xD111886cb7eFF60F390E8F4C4F7c288C21988d51,300
0xB8D0879eb3108B284d98836e3e3B003e90FC468B,300
0x9ea2C3ef5010007fAaB0b4865c1c6eD716Edd91f,300
0xeaE82F73272C63aD1632DB08024483C074007616,300
0x2e2DFF9Cb1df6065747a62BCae441B3452E6d711,3600
0xCdAa484a6A787cD20707cFa94d9841850CDf99Ff,300
0x8f35Df47832dC2015011D0af1D5F1aBd6f7a905f,300
0x55b61DC81A1BaEA734B075934a509D3eBc1c9576,300
0x0535F81AbabA0d831B5E471edB5767CB3ac723F2,300
0xAd6a51e5a8BAc9693f0fF6611d6ed02e3Ade8d59,300
0x37b59A5F0DD525969C97C1FB5E7a1eB95cF6E27D,300
0x1d2311b187F25cEB9bb3a5Af51BC51d5ae345656,300
0x567C6767e2dc09a9a776288e24CaBb00DdF4d76e,300
0x4f695c0fC4D2e65a4f6eE9a053F9A980085622CE,300
0xf333B550Ef99eC1F104fB163d26C0905859bDe35,300
0x9767DA1cc42f27E45F9658a986D74eCe4bBA004d,300
0xCf9B0de1A4D6D7392fa2e45809B5D1C4FAa805d2,300
0xDE8E5834560358Ac094EBB58c9D38A9aaf5f09Bd,2700
0x38d03fC253c924796672EFF896ecA7fb05382c06,600
0xA126D16FfFe0281A4dbc8095eA54BA7737Ebe846,300
0xF18BD2e9008F4A04C0F899a51ff557d074f8cbE7,300
0x84E6ff105b00BDC8953E2B19F85A3C104C8764d2,600
0x5050Ea5E75B3c25b01c7501881E6a87cF5AfF24E,600
0x05CC46adAc73B93eb73194B8Ed1445B7BA13cFc6,6300
0xBa7Ac1952Db308b0a245BdB14440CA321afbb14a,7800
0xDca875f1514152E3049761fE32C9782719A2F34b,900
0x1B3e1eedC7c8967eAF1A43067c17C7EA4f83018A,300
0xfe321290287aF2472C9BA73d4EE0F4bF0Cb368eb,300
0xF57f0a8AB90FBE074072A9FD641806a0085407Ed,600
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,15900
0xfD6bb34B8FB0fA845328074c66A0b81BD90FB6e1,600
0x72665c34A1fDD9f54c3001C00D358E1833f1FB03,3300
0x4337ADC41416AdA3C757A1F98bb6821f6E86D303,600
0xBbeFF070C76aF8d06e6b3f30c36f4a28140f48E8,300
0x21De72C3C72d153F321d1EcEff936521DF9D8d3a,1800
0x6bfc82882dffdEEe0079020b77E561A9c238aAb9,900
0x632769d478aAA18238D8517Ea365cB5865934A6A,300
0xCC7d6cf0873dB14fE6824f05906BCbC22b666096,8100
0xb256Bb94bFe027688C73014Add26DDA7eaAd2bE0,300
0x6Ea87e3278F7Fd4bc0383a87Bc5e6a890712Aa57,1800
0x362cf0C258973d56f5A3C04671b1579E11c2B0c5,300
0xc375B9D01d5434FE0C565ea8D4E6b286cd110F8A,900
0x5f63A1C81161fA3ce367BeF4c9a560B2F1A4b301,300
0xA371F994981b5ab257880396296b5bdbFb2EeBe3,1500
0xd7895D43f26b48f64f11b555d4e4EE05aEF79558,1800
0xA43711F5DCc3559a1E07eC124fd167e26c9BaD43,300
0xeA675cDCF1fC5D4B0Ad100A827fBA8966c719071,900
0x77E395cCB0f042083F389404f3459DAD40B6D552,900
0xdC4b2051cB106D5dE8601B36936A3DA99c634c29,1500
0xDe56425223f9C50b5586440E20777A2d6267d47F,300
0xD74882DBDBC8f9fD2e6f225812d4f3d594f2F846,900
0xcc5643536f0CEf8D28F5dB6C421EC27AB18dE498,900
0xe0BC62Ac0156f3DfBfeB6597dF2CD38cC1bc63f2,300
0xd881Ab293e0f2C5EA50C0AFb88E58f7a67481ceb,300
0x9845bfdDb7418448f291E05554A75be52b5F0dB4,900
0xe0d817c734B963231a827614558D98b75F67Af02,300
0x243314f50bF9A5172Fe44F580B72cd0895280691,300
0x71cd655409bd278Be0Da3E49C48FC280244c55Df,300
0xFB0672f48f9B518cA188A3A44b011Ed3b7e7aee3,600
0x886f957bEc7deE3A194a0E46b971310AddF89bF1,1200
0xDb414e0D262f9f0fdA3eD96bf68e02C9fCEA09cC,1800
0xa425395bFB1b788822F034922F1662bda032F67C,900
0x071Db838A33e17C4Ce35CE1796F15CadB4DD8E12,300
0x222b6B2B0486998ddFfF9B76B9E6dF9A862EC5fB,300
0xbe3E686a9527d8eFd438b82e7ddCEC9f1f9e624B,600
0x123408b6751242566E88103288d6DA418DF7BAb5,900
0xbFd58Ff411FF48996e0853b01d6c66Ffff79d7D1,900
0x215f0C5661FDcf121f29bAD47eA56326D3e6f7Bf,300
0xFfA0F764a4E7411298CeFd937c6845407138008A,7200
0x12d6ef206a5BA9f42D7DC58Bd38d4df7bB70934B,300
0x166d8Fe3471500b67a0EEfA6672C6f2305e8A498,300
0xf84975C731E88bd46c7017887b66C8e62efCe9A3,300
0x5D8e1561C0EaDeA43FC22cF8C870A5406bD79e91,300
0x56A03034a98f6103E5CD91a21f3A9140aee82134,300
0xF59F5Fe2791d6fb08f2353cb0F12140657088318,2400
0x84ac67A7C2CfeD6D4D4f42e44DA24fC30532b248,900
0xff6545F97be3e29746E6e2dD7B4b18328400b2AF,300
0x7bc0CEAfffC2F2322F07c3058FfBcC2fA7C2Af7d,30000
0x30cB696c7D4643b58f2ec0E51573863f32e23917,1200
0x57748eCB251f2ec36027Bf8b7B2C13B69b8e5222,300
0xf50EF49215315e045a5A6Ad99D321Cb0e8a48687,300
0x113406A66A9C41B9899f9BF08C39931cD7437aC3,300
0x99406B5023dE19B4405FaC9FEE5cD7F75916A384,1800
0xAb7F8b4CCA74D9dA7F2831a7d692c920672fD52E,900
0x9c01b4a6A6Ee9939DfF9cEe404Cd2586a0Ef99d8,300
0xA2a0e8Bb11391C4D71D547A174F02B04ef219912,300
0x1Ac262d831815b1296803F01221271Cd5B1c3bbd,300
0x0ae5C3C155C1E8AdB8466ba0b66a29A5379747e4,4200
0xD19Cb117B0E11d4081257bE7a6a4DF535723B26e,6000
0xa4Ad81055f67AA128974071D4c1f89154802554e,300
0xE5479903fEbB574aae0442C5434897D6825d9977,1200
0x2537aBC541B586Db18c3B1CA3BAEB5cc9Dd2f659,600
0x9606CC193ca431C7c9E05A8Fb8753312512DF9AC,1500
0x0Aec4796F248b68151e1d34e994378353423992D,300
0x02D6b9873Bb16c53aF6ece1505a04049D3aC906a,300
0x27daDcAC8613dE8D27519BFF92A3e0Fa7fd16871,300
0xbfcc61A9B4e94467A2206c0C3f5d62202822251b,900
0xC89d41F86262EE5225836E837066fec940908293,300
0xE4c906A83cdaAf264FA7c0999832b5426FC47272,300
0xE3B9334a689AF8B0DA72C610a1D018A08eD85790,2100
0x2647Cb2c8eC11999f4a07a30b3a36fA344456029,300
0x51E49afcAb83a868a0A6c10B18d07D9FCF01944C,6000
0xC177EFAEB3552C7cA175E591ec98B2c3EC200F43,300
0x6cdc396bc34B4C401f93a5Eac8DCA44BFf533fbE,600
0x3EE16ef1C0f00615a06620713462E9eed6948aE3,19500
0xE73052aA21B655c70F4Aaa1F947f793C4bF7a95D,900
0xb0f8907B387897d0Ac08Db33264F1153bE441824,300
0x59fA2Cc8c8657154e63F97F3175cCFeD5212C2Fe,5100
0x9bE394Eb181fccb33e624FDfFE9EB0Dba830f4c5,300
0x3a8b9B6d9286A42d3956A54DC60ec81c6865ce82,300
0x2768CB5E7573D3e9d8bc42F753FB2B30E89DfBC7,600
0x6459Ea73a47C4153A608957F46F44645D0AaaF9d,300
0xAbDAf930F15c796a6Ac6397205572d7982442230,300
